Row Labels,Sum of count of category,,,,
Drama,2110,,,Genre Manipulation,
Comedy,1588,,,mean,496.16
Thriller,1214,,,mode,2
Action,1074,,,median,265
Romance,930,,,max,2110
Adventure,873,,,min,1
Crime,777,,,var,296920.5567
Fantasy,550,,,stdv,544.904172
Sci-Fi,527,,,,
Family,498,,,,
Mystery,429,,,,
Horror,412,,,,
Biography,265,,,,
Animation,227,,,,
War,193,,,,
History,188,,,,
Music,176,,,,
Sport,153,,,,
Musical,102,,,,
Western,80,,,,
Documentary,32,,,,
Short,2,,,,
Reality-TV,2,,,,
Game-Show,1,,,,
News,1,,,,
Grand Total,12404,,,,
